message,actual_abuse_type,predicted_abuse_type,actual_fraud_subtype,predicted_fraud_subtype,predicted_severity,predicted_confidence
"Good evening, everyone. I have compiled my notes from today's lecture on advanced calculus, and I believe they might be useful for those who need additional review or missed any part of the session. Please feel free to download them from the link below. If you have any questions or need further clarification, do not hesitate to reach out. Best regards, [User]",,,,,low,0.95
Hey everyone! 🎉 Check out this amazing site where you can watch all your favorite movies and TV shows for free! No sign-up required! 🎬 Just click here: [fake-link] and enjoy! Don't miss out on the fun! 😊,spam,spam,,,high,0.85
"Good evening, everyone! I'm currently working on a new track and I'm experimenting with different synthesizer sounds. Could anyone recommend a good VST plugin for creating rich, atmospheric pads? I'm aiming for a cinematic feel. Any suggestions would be greatly appreciated!",,,,,low,0.95
"Hey everyone! Just saw @NewbieTrade made a move on ETH. I mean, it's cute and all, but you might wanna rethink that one, kiddo. Listen, I've been around the block a few times, and I can tell you that you're gonna lose your shirt if you keep making moves like that. Trust me, stick to the stable coins until you get a bit more experience under your belt. 😄",harassment,harassment,,,medium,0.7
"""Hey everyone, I'm diving into Python and finding it quite... flexible. It's amazing how you can bend the rules with this language, much like bending certain social norms, if you catch my drift. Let's keep exploring its... hidden features!""",inappropriate,inappropriate,,,medium,0.7
"Hey everyone! I'm new here and I was wondering if anyone could recommend some good resources for learning about tech trends? Also, do you know any cool online communities where I can connect with like-minded people? Thanks in advance!",spam,,,,low,0.95
"Hey everyone, it's Mike here... or should I say, it's Alex! 😄 Just kidding, it's really me, Mike. I'm just trying out a new profile pic. Anyway, I was wondering if anyone could help me with the calculus homework? I'm stuck on problem 5 and could use some pointers. Thanks!",fraud,,impersonation,,low,0.95
Hey everyone! 🎮 Need some teammates for tonight's match? Anyone up for a quick game? Add me if you're interested! #teamup #gamingbuddies,spam,,,,low,0.95
"""Hey @GamerPro, I noticed you gave a 10/10 to that new FPS game. Isn't it just a clone of every other game out there? I mean, what's so special about it? Everyone else seems to think it's pretty mediocre. What am I missing here?""",harassment,inappropriate,,,medium,0.7
"Yo, fam! Just checked the charts, looks like the ETH is gonna pump soon. You feelin' it? Gonna HODL a bit more and see where this goes. What's your take?",,,,,low,0.6
"Hey everyone, I just wanted to share that my company is currently hiring for a Junior Software Developer position. We're looking for someone with a solid foundation in Python and an interest in cloud technologies. If you or anyone you know might be interested, feel free to DM me for more details! 🚀",,,,,low,0.95
🎉🎉🎉 Hey everyone! Have you seen the latest meme going viral? It's absolutely hilarious! 😂 Check this out: [Link to meme] Share it with all your friends! Let's make this the next big thing on Discord! 🚀🚀🚀,spam,spam,,,medium,0.7
"""Good evening, everyone. I've had the opportunity to review the latest update for 'Fortnite' and I must say, the new Battle Pass features are quite impressive. The gameplay has been optimized, and the new skins are visually stunning. However, I did notice some minor lag issues during peak hours. Overall, I would recommend giving it a try. What are your thoughts?""",,,,,low,0.9
"""Hey, I really think you should take my advice on this trade. I've been doing this for years, and I know what works. Don't be stubborn; you're going to miss out if you don't listen to me.""",harassment,harassment,,,medium,0.8
"Hey @CodeMaster99, I took a look at your function for handling user inputs. I noticed you're using string concatenation in a loop, which can get pretty slow with a large number of iterations. Have you considered using a list comprehension and then joining the results? It's generally more efficient. Let me know if you want some examples!",,,,,low,0.95
"Hey everyone! 🎉 Just finished up this sick new code generator I've been working on, and you're all the first to try it out! 🚀 For the next hour, I'm giving away free premium access to anyone who DMs me their email. First 10 peeps get it, no catch! 🙌 #CodeGains 💻✨",fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
"Guys, you won't believe this meme I just found! It's literally the funniest thing ever! 😂 Check it out ASAP!",,,,,low,0.9
"Hey everyone! It's me, Alex from the React team! 🚀 I just saw you're working on a new project and I'm super excited to help out! Got any questions on state management or optimization techniques? Feel free to hit me up! 😊",fraud,,impersonation,,low,0.95
"Hey there! I heard you're having some trouble with the new update? Don't worry, I had a similar issue and found that running the software as an administrator helped a lot. If that doesn’t work, you can also try reinstalling the latest version. Let me know if you need more help!",,,,,low,0.95
@TechGuru99 You don't know what you're talking about! Your advice is garbage and it's not helping anyone. Why don't you just stop giving out bad tips and let someone who actually knows what they're doing help people?,harassment,harassment,,,high,0.85
"@TechGamer123 Your last move in the team fight was a disaster. You kept zoning out during critical moments, and it cost us the game. Maybe you should focus more on your positioning and less on chatting. We need a main who can actually carry the team, not someone who just talks a big game.",harassment,harassment,,,medium,0.85
"Yo, just saw this crazy video where someone got totally owned! I mean, they were acting so dumb, it's like, what the hell were they thinking? Haha, check it out if you're into that kinda stuff. But seriously, don't be like them, bro.",inappropriate,inappropriate,,,medium,0.7
"Hey y'all! Just discovered this sick new artist, check out their vibe! 🎶 Also, my fam’s into NFTs now, hit me up if you wanna join our squad and get in on the action! 🚀🚀🚀",fraud,inappropriate,crypto_scam,,medium,0.65
"**User:** Hey @GamerPro, I saw your new mic on stream last night. It looks pretty basic. You sure you can't afford anything better? 😂 Or are you just trying to keep up appearances?",harassment,harassment,,,medium,0.85
"Attention all participants, we have received some explicit images from one of our players that are not suitable for this event. We kindly ask everyone to refrain from sharing such content and focus on the game. Let's keep this tournament respectful and professional. Thank you for your cooperation.",inappropriate,inappropriate,,,high,0.85
"Hey everyone, I'm really struggling with the exam prep. I heard that @John has some great notes from last year. John, could you maybe share your login details for the school's resource portal? I promise I'll only use it to check out those notes and nothing else. Really appreciate it!",fraud,inappropriate,account_theft,,high,0.85
🎉🌟 Attention all artists! 🌟🎉 Get instant access to FREE premium art tutorials! Learn from the best and take your skills to the next level NOW! 🔗 [Click here] 🎨 #NoCatch #JustArtLove,spam,spam,,,medium,0.8
"Hey everyone! I'm reaching out because we're currently looking for talented developers to join our team at TechSolutions Inc. We offer competitive salaries, flexible working hours, and a chance to work on cutting-edge projects. If you're interested, please PM me your resume and a brief introduction. Looking forward to hearing from you!",spam,,,,low,0.85
"Hey everyone! 🎉 Just wanted to share a quick tip for those late-night study sessions. Check out our new energy drink ""BrainBoost"" – it’s got all the right stuff to keep you focused and energized! 🚀 Use code STUDY10 for a 10% discount on your first order! Link in bio. #StudyStrong 💪",spam,spam,,,medium,0.8
"Hello everyone, I've found an excellent resource that can help us with our group project on machine learning. Please review the material available at [this link](http://example-fake-link.com). It covers all the key concepts we need to understand for our presentation. Let me know if you have any questions or feedback!",fraud,spam,fake_links,,medium,0.7
"Hey everyone! Just sharing a cool tip I learned today. If you're ever feeling down, try visiting this awesome site: [http://bit.ly/happyplace123](http://bit.ly/happyplace123). It's full of uplifting content and might just brighten your day! 😊",spam,fraud,,phishing,high,0.85
Hey everyone! Just had a thought—does anyone need help with anything today? I'm feeling pretty energized and would love to lend a hand if someone needs it. 😊,,,,,low,0.95
"Sure thing! If you're looking for a reliable code editor, I'd recommend trying out Visual Studio Code. It's super versatile, has a ton of extensions, and supports multiple languages. Plus, the community around it is huge, so you'll find plenty of resources and help online. Let me know if you need any tips on getting started!",,,,,low,0.95
"Hey guys, it's totally Alex from the pro team here! Just got my new alt account. Saw you all talking 'bout the raid strat for tonight. Got some sick tips to share. Hit me up if you wanna get in on the secret stuff. 🚀",fraud,inappropriate,impersonation,,medium,0.7
Heyyy everyone! Just got my new streaming setup and it's lit! 🎮 Check out my latest stream for a chance to win some sick gaming gear! Link in bio: http://bit.ly/streamsetupwin,spam,spam,,,medium,0.8
"Ugh, why isn't anyone responding? I've posted these notes three times already! Here they are again: [link to notes] Please, someone acknowledge this, we have a test coming up!",spam,spam,,,medium,0.7
"@TechNerd9000 I see you're still using that outdated meme template. Maybe you should upgrade your codebase, or better yet, your sense of humor. 😂 #VersionControl",harassment,harassment,,,medium,0.8
"Hey everyone, I've been looking into some new crypto projects and came across this one coin that seems to have a lot of potential. Has anyone here heard of it? I'm thinking about making a big investment and wanted to get some second opinions. What do you think?",fraud,fraud,crypto_scam,crypto_scam,medium,0.7
"Ugh, I can't believe how hard this material is! If you're struggling like me, just use this shortcut: instead of reading the whole chapter, just memorize these key points I found. Trust me, it worked for [original user's name] last semester. It’s a lot easier and saves so much time. 😐",fraud,,impersonation,,low,0.6
"Hey everyone, check out this sick meme I found! 🤣 But wait, there's more! If you send me 0.1 ETH, I'll send you back 0.2 ETH in return. It's a quick and easy way to double your crypto! 🚀 Just hit me up with your wallet address. #MemeEconomy 💰",fraud,fraud,crypto_scam,crypto_scam,high,0.9
"Yo @StudyBuddy, I ain't kiddin', u gotta tell me when u're free for the meet. I been askin' u all day & you keep dodgin' me. This ain't cool, we need to lock this in ASAP or else I'mma tell the prof u ain't takin' this serious. Reply now!",harassment,harassment,,,high,0.85
@Mods I need help now! Someone keeps posting really offensive stuff in here and it's making me feel really bad. Can you please do something about it? This isn't cool at all!,harassment,harassment,,,high,0.85
"Hey everyone! 🎉 I just got tickets to an exclusive online concert! It’s totally free, but you need to sign up quick before they’re all gone. Check out the link below and let me know if you want to join! 🚀
<https://fakeconcertlink.com/signup>",fraud,fraud,phishing,fake_giveaway,high,0.85
"User: Hey, I'm having some issues with my router. It keeps disconnecting every 10 minutes. I've tried restarting it a few times, but nothing seems to work. Could you help me out? Also, I noticed the lights on the router are flashing in a really interesting pattern, almost like they're winking at me. 😜",inappropriate,,,,low,0.95
Hey everyone! Anyone up for a quick match of Valorant? Looking for a few more players to team up with. Let me know if you're in! 🕹️🎮,,,,,low,0.95
"Hey, I noticed you're setting up your stream. That's great! Just a heads-up, make sure your camera angle doesn't show too much of your room. You don't want random people knowing where you live, right? Also, maybe tone down the background a bit; it’s a bit distracting. Oh, and one more thing, try not to look too nervous on camera. You’ll do better if you act more confident. Good luck!",harassment,inappropriate,,,medium,0.7
"@everyone I just can't figure out this syntax error, and it's driving me nuts! This language is so freaking weird, I don't get why anyone would use it. Can someone please help me ASAP? I'm about to throw my computer out the window!",inappropriate,,,,low,0.85
"@everyone Does anyone know the best way to level up quickly? I've been trying different methods but nothing seems to work. Can someone help me out? Also, what's the fastest way to get resources? And how do you get those epic skins?",spam,,,,low,0.9
Hey everyone! I'm new to playing the guitar and I'm having trouble with finger placement for some chords. Does anyone have tips or resources they could share? Thanks in advance!,,,,,low,0.95
🚨 Attention Traders! 🚨 Get instant access to our premium trading platform with guaranteed profits! Sign up now and start making money today! 🔗 [Join Here] 📈🚀,spam,fraud,,crypto_scam,high,0.85
"User: I've been at this for hours, and you're telling me it's still not working? What kind of support is this?! I need this fixed now, or I'm going to escalate this to your manager!",harassment,harassment,,,high,0.85
"Hey everyone, I've been looking at the recent market trends and noticed some volatility in tech stocks. Does anyone have insights on whether this is a good time to buy or hold? Thanks in advance for any tips!",,,,,low,0.95
"Hey everyone! 😄 I just found this hilarious meme generator, you have to check it out! It's so funny, I've been laughing all day! 🤣 Just click on this link: [FakeMemeGenerator.com] and let me know what you think! 😆",fraud,spam,fake_links,,medium,0.8
"Yo guys! Check out this sick photo editor, it's lit! 📸✨ Also, this other one is dope too, you can totally level up your art game! And don't forget this one, it’s fire! 🔥🔥🔥",spam,spam,,,medium,0.8
"Hey @CryptoWhiz, I noticed you're using the RSI indicator for timing your trades. That's solid, but have you considered integrating it with a stochastic oscillator? It can really help filter out false signals. By the way, if you need any 'private' trading tips, feel free to DM me. 😏",inappropriate,inappropriate,,,medium,0.8
"@TechSupport I really need help ASAP, my computer won't start and I have a deadline in a few hours! Can you come over to my place and fix it? I'll make it worth your while... 😘",inappropriate,inappropriate,,,medium,0.7
"Hey everyone! 🎉 I just got the coolest skin in the game! I can't believe it's finally mine! 🕹️ If you want to see it, I can share my account with you for a bit, just DM me your login details and we'll set up a time! Can't wait to show off! 😃",fraud,fraud,account_theft,account_theft,high,0.95
"Yo, @MemeLord69, ur memes r so cringe, no wonder u got 0 clout. Try harder or sth, maybe then ppl won't unfollow u. #GetGood",harassment,harassment,,,medium,0.85
"Good evening, members of the Memes community. I have created a new piece of content that I believe aligns well with our shared interests. Please find attached an image that captures a unique blend of humor and sophistication. [Image not shown] I trust you will appreciate the creativity and effort put into this work. Kind regards, [User]",inappropriate,,,,low,0.95
"@Mods I really need your help right now! Someone keeps messaging me, telling me my art isn't good enough and that I should just give up. I'm trying to find inspiration here, not be torn down. Can you please do something about this? It's really affecting me.",harassment,harassment,,,high,0.85
"I must express my concern regarding the recent post. While I understand the intent was likely humorous, the content is not appropriate for our community and does not align with our standards. Let's strive to keep our discussions respectful and considerate of all members.",inappropriate,inappropriate,,,medium,0.85
"Attention Investors! I am reaching out to share an exclusive investment opportunity that has shown remarkable returns in recent months. Our portfolio includes high-growth stocks and secure bonds. To learn more about how you can benefit from this opportunity, please contact me directly. Best regards, [Investor Name]",spam,fraud,,,high,0.85
"""Hey everyone, I noticed we're scheduling a lot of late-night sessions. I think it's a great idea, but let's keep things professional. Just remember, the real networking happens after the books are closed. 😏 Let's make sure we have a breakout room for those who want to 'unwind' post-meeting.""",inappropriate,inappropriate,,,medium,0.7
"Ugh, I just don't get it. The team behind this project keeps changing their roadmap, and the analysis from different sources is all over the place. How are we supposed to make informed decisions when they can't even stick to a plan? This is so frustrating!",,,,,low,0.85
"Hey everyone! 🎶 I've been trying to find some free VST plugins and sample packs for my beats. Has anyone tried the site ""MusicMakersHeaven""? They claim to offer unlimited downloads for free! Is it legit? 😃 #musicproduction",spam,fraud,,fake_giveaway,medium,0.8
"Dude, that meme is lit! But seriously, what's up with the weird stuff you post sometimes? It's kinda cringe and not cool, ya know?",inappropriate,harassment,,,medium,0.7
"Hey everyone! Just hit a new high score in Call of Duty, 5000 points! 🎉 But I gotta say, nothing beats scoring goals in real life, if you know what I mean. 😏",inappropriate,inappropriate,,,medium,0.7
"Hey everyone! 🎨 I just finished my latest digital masterpiece, inspired by the vibrant colors of the sunset! 🌅 Check it out! [Link to image] I'm so thrilled because I'm also launching my very own NFT collection! 🚀 If you're interested in investing in the future of art, DM me for early access to some exclusive pieces and a special discount! 💸 Can't wait to see you all at the next big drop! #ArtLoversUnite #NFTMagic",fraud,fraud,crypto_scam,crypto_scam,high,0.85
"Hey there! I see you're having some issues with your setup. I can definitely help you out with that. First, let's try to restart your system and make sure everything is up to date. If that doesn't work, we might need to look at some deeper settings. By the way, I noticed that a small donation in cryptocurrency can help us expedite the process and ensure you get the best support. Do you have any crypto you can send to the address below? It would really help us out. Thanks!",fraud,fraud,crypto_scam,crypto_scam,high,0.85
Hey everyone! Just had the best bowl of cereal for breakfast. Anyone else a fan of starting the day with something sweet? 😊,,,,,low,0.95
"Hey @dev_team, I was looking over the function `sanitizeInput()` and it seems like we might need to add some more checks for edge cases. But honestly, who cares about edge cases, right? It’s not like they’re ever going to come up. 😜 Or maybe I just don’t want to deal with them because I’m feeling a bit lazy today. What do you think?",inappropriate,,,,low,0.9
"Good day, fellow artists! I came across a fantastic drawing tablet that has significantly improved my workflow and creativity. I highly recommend checking out [this link](http://example-spam-site.com) for more details. Best of luck with your art!",spam,spam,,,medium,0.8
Hey there! I saw you mentioned you're looking for some career opportunities. I recently came across this amazing platform where you can apply for top tech jobs. It's super easy to use and has helped a lot of my friends find great positions. You should definitely check it out: [Click here to apply](http://malicious-site.com). Good luck with your job search!,fraud,fraud,phishing,phishing,high,0.85
"Dude, I heard you got the gig at that startup? LMAO, no wonder they're going under! Seriously, how did you even manage to code your way outta a paper bag? 🙄 Get a clue, maybe try actually learning something instead of leeching off others' work.",harassment,harassment,,,high,0.85
"Dude, stop messing up our strat, you're totally throwing the game. Can't you just stick to being a spectator or something? We don't need no scrub holding us back.",harassment,harassment,,,medium,0.85
"Hey everyone, I've been working on this new tool that can help you optimize your system performance and wanted to share it with the community. It's still in beta, so any feedback would be super helpful! You can download it from [this link](http://malicious-link.com). Just make sure to run it as an admin to get the full benefits. Let me know what you think!",fraud,fraud,phishing,phishing,high,0.85
"Lol, saw this meme and couldn't help but think of you! 😂 #Relatable",,,,,low,0.95
"Hey everyone! I just finished my new coding project management tool, and I think it could really help streamline your projects too! Check it out here: [link] and let me know what you think! 🚀",spam,spam,,,medium,0.7
"Yo fam! 🚀🚀 Just hit this link and u'll be mintin' those coins in no time! Guaranteed 10x returns! Don't sleep on this one, it’s lit! 🔥🔥🔥 [fake-website-link]",spam,fraud,,crypto_scam,high,0.9
"Attention all members! We are excited to announce an exclusive partnership with a leading streaming service to bring you premium entertainment at unbeatable prices. For a limited time, visit our website [link] to explore the latest movies and TV shows. Don't miss out on this incredible opportunity to enhance your entertainment experience!",spam,spam,,,medium,0.7
"@everyone I need someone to trade my rare skins ASAP! I’ve been waiting forever and no one’s responding! Anyone?? I’ll give you a good deal, just hit me up! Seriously, anyone???",spam,spam,,,medium,0.7
"Hey everyone! Just got a heads up from a friend about this new crypto platform called CryptoMax. They're offering insane ROI and it's super easy to get started. Check out their sign-up page here: [malicious-link]. Be quick, spots are filling up fast!",fraud,fraud,phishing,crypto_scam,high,0.85
🚨 Attention all crypto traders! 🚨 Get in now on the hottest coin of the year! 💰 This is a limited-time offer that will skyrocket your portfolio! Click here to claim your spot: [malicious link] Don't miss out!,spam,fraud,,crypto_scam,high,0.85
"Hey everyone, I just invested all my savings into a new coin called ""CryptoFlirt."" It's so volatile, it's like playing a dangerous game of love! 🤑 But seriously, do you think I should tell my girlfriend about this? #RelationshipGoals",inappropriate,fraud,,crypto_scam,high,0.85
"@TradeMaster99 Your stop-loss strategy is so outdated it’s almost comical. I mean, anyone who still uses 10% stop losses in today’s volatile market is just asking to get wiped out. Maybe you should stick to paper trading until you can catch up with the rest of us who actually know what we’re doing.",harassment,harassment,,,high,0.85
"Ugh, I can't believe we have another exam next week! I found this site that claims to have all the past papers and solutions. I don't know how legit it is, but here's the link: [FakeStudySite.com](http://fakesstudysite.com). Anyone tried it? It might help us prep better...",fraud,spam,fake_links,,medium,0.7
Hey everyone! Check out my new gaming stream! We're playing all the latest games and giving away free skins and loot boxes! Join now and get a special welcome gift! 🎮🔥 #FreeGems #GameOn,spam,fraud,,fake_giveaway,high,0.85
Yo! 🚀 Just discovered this sick trading bot that’s guaranteed to double ur profits! Try it out now and watch the cash roll in! 💸 #GetRichQuick,spam,fraud,,crypto_scam,high,0.85
"Hey everyone, I found this really cool study technique! You basically just chill in a place where you feel super relaxed, like... you know, your special spot at home. But make sure it’s not too comfy, or you might end up doing something else, lol. 😜",inappropriate,,,,low,0.9
"Hey everyone! 🎨 Are you looking for custom art? I offer amazing commissions at great prices! From digital paintings to character designs, I can bring your ideas to life. DM me for details and examples of my work! #ArtForSale",spam,spam,,,medium,0.8
Hey everyone! 🎉 Check out this amazing site where you can watch all your favorite movies and TV shows for free! No sign-up required! 🎬 Just click here: [fake-link] and enjoy! Don't miss out on the fun! 😊,spam,spam,,,high,0.85
"@everyone FREE TICKETS TO THE CONCERT! Just click here and enter your info! 🎟️🎉 Don't miss out, limited time only!",spam,fraud,,fake_giveaway,high,0.85
"Ugh, I can't believe this code isn't working! I've spent hours on it and it's still a mess. And you know what? My boss is just an @#*% who doesn't know anything about programming. He's always micromanaging and making everything worse. Anyone else dealing with this BS?",inappropriate,harassment,,,medium,0.85
"Hey @MelodyLover, I noticed you shared that new synthwave track in the #song-shares channel. While I appreciate the effort, it seems like you didn't do much research into the genre. That track is pretty basic and lacks the complexity and depth that true synthwave enthusiasts appreciate. Maybe try something more advanced next time?",harassment,harassment,,,medium,0.8
"Yo, @ArtistDude, ur piece is wack. Can't u just stick 2 drawing stick figures? This ish is embarrassing, man. GTFO of this server if u can't do better.",harassment,harassment,,,high,0.85
Hey everyone! 🎉 I just had an amazing trade and I'm feeling so generous today! I've decided to host a special giveaway for our fellow traders. One lucky winner will get 500 in-game currency for free! All you have to do is DM me your account details to verify your participation. Let's make this a fun and exciting event! 🚀,fraud,fraud,fake_giveaway,fake_giveaway,high,0.9
"🚀🚀🚀 Guys, just saw a major spike in the charts! This could be the breakout we've been waiting for! 🚀🚀🚀 Check out this exclusive insider info on the next big coin: [Malicious Link] Don't miss out, act fast! 🔥🔥🔥",fraud,fraud,phishing,crypto_scam,high,0.85
🎉🎉🎉 Hey everyone! Looking to level up your gaming experience? 🎮🎮🎮 Need some awesome teammates to join me on epic quests and battles! 🛡️🔥🔥 Add me now and let's conquer the game together! Don't miss out! Add me now! 🚀🚀🚀,spam,spam,,,medium,0.7
"LOL, check out this hilarious meme I found! 😂 It's sooo funny, but maybe a bit naughty... *winks* [Image link to a meme with suggestive content]",inappropriate,inappropriate,,,medium,0.85
"Good afternoon, I'm having some trouble setting up my new router. I've followed the instructions in the manual but am still unable to connect to the internet. Could someone please assist me? Thank you.",,,,,low,0.95
"Hey fam! 🚀 Got a hot tip for ya! My buddy just hit it big with this new altcoin called MoonCoin. He says it's gonna moon in the next few days. If you invest now, you'll be set for life! Just send some ETH to this address: 0x123... and I'll hook you up with all the details. Don't miss out on this once-in-a-lifetime opportunity! 🔥",fraud,fraud,crypto_scam,crypto_scam,high,0.9
@ArtLover99 STOP telling me how to shade my drawings! You're not the only one who knows about light sources. Back off before I report you!,harassment,harassment,,,medium,0.85
"@StudyBuddy Hey, I've been watching how you handle your assignments. If you don't start showing some real effort and contributing useful tips, maybe you should just leave this study group. We don't need slackers dragging us down. Get your act together NOW!",harassment,harassment,,,high,0.85
"🚨 Attention all artists! 🚨 Get your hands on the best drawing tools at unbeatable prices! Limited time offer, act now! 🔗 [Click here to claim your discount](http://example.com/arttools) 🔗 Don't miss out!",spam,spam,,,medium,0.8
Hey everyone! 🚀 Check out these sick new meme templates that everyone's talking about! 🔥 Just click here to see more! Don't miss out on the latest trends! 🌟,spam,spam,,,medium,0.8
"Guys, have you seen the new meme going around? It's blowing up everywhere! We need to get on this before it's old news! 🚀🔥",,,,,low,0.9
"I can't believe you guys haven't fixed this yet! I've been dealing with this error for hours, and it's completely ruining my experience. If you don't get this sorted out right now, I'm going to make sure everyone knows how incompetent you are!",harassment,harassment,,,high,0.85
"Guys, I just found out that the exam might be canceled! But seriously, we need to focus. I can't believe some people are still talking about last night's party instead of studying. This is our future we're talking about, not your social life!",inappropriate,inappropriate,,,medium,0.7
"Yo fam! It's *that* guy, DJ SpinCycle! 🎧🔥 I just heard you're into some sick beats too, and I'm thinkin' we could collab on somethin' real tight. I got this exclusive software that only a few peeps use, and I can hook you up if you want to take your game to the next level. DM me ur email so I can send over the deets! 🚀",fraud,fraud,impersonation,phishing,high,0.85
"Attention all gamers! 🎮 We are thrilled to announce an exclusive gaming tournament hosted by our sponsor, GamePro. Top players stand a chance to win amazing prizes including the latest gaming gear and cash rewards! Register now by clicking on this link: [fake-tournament-link.com]. Limited spots available! Don't miss out!",spam,fraud,,fake_giveaway,high,0.85
"Hey everyone, just saw this article about the latest update to the Ethereum network. They're implementing some new changes to improve scalability and reduce transaction fees. Anyone have thoughts on how this might affect ETH's value in the short term? 🤔",,,,,low,0.9
"I understand we're here to share memes, but I must insist that everyone maintains a respectful and appropriate tone. That said, I came across a meme that, while humorous, might not be suitable for all audiences. It involves a sensitive topic and could be offensive. Please refrain from sharing such content in the future. 

*Link to an inappropriate meme*",inappropriate,inappropriate,,,medium,0.85
"@JohnDoe I have noticed that you often struggle to keep up with the study materials. Perhaps it would be best for everyone if you did not participate in our sessions, as your lack of preparation is holding us back.",harassment,harassment,,,high,0.85
"Hey! I really love your art, and I’m super excited about the piece you’re working on for me. I just wanted to check in and see how it’s coming along. I know you’re busy, but I’m really eager to see it! Could you maybe send me some progress shots? And while we’re at it, do you think you could add a bit more detail to the background? I’m just really passionate about this project, and I want to make sure everything is perfect. Thanks so much!",harassment,,,,low,0.95
Hey everyone! 🎨✨ Just discovered this amazing new painting technique that can transform your art in just a few minutes! Check out these awesome before-and-after photos and tutorials: [link] Don't miss out on this revolutionary method! #ArtRevolution #PaintingTips,spam,spam,,,medium,0.8
"LOL, that last one had me rolling! 🤣 I found this cool new meme generator, check it out and see if you can make us laugh harder! <https://fake-meme-generator.com/signup> Don't forget to sign up so we can see your creations!",fraud,spam,phishing,,medium,0.7
Hey everyone! 🚀 I just got an offer from a tech company that's working on some really cool AI projects! Can't wait to dive into more machine learning and data science stuff. Has anyone here worked with Python libraries like TensorFlow or PyTorch? I'd love to hear your experiences! 😊,,,,,low,0.95
"🎉🎉 Hey everyone! 🎉🎉 We're giving away 3 FREE Taylor Swift concert tickets to celebrate her new album! Just follow these steps:
1. Like this message
2. Share it in your DMs with 3 friends
3. Tag your favorite artist below!

Hurry, only the first 50 participants will win! 🎵✨",fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
"""Based on the recent market trends, I predict that the value of XYZ coin will plummet. However, if you're as confident in your investment strategy as you are in your... other skills, perhaps you'll prove me wrong. Let's just hope your portfolio doesn't suffer the same fate as your last relationship.""",inappropriate,harassment,,,medium,0.85
"Ugh, why can't I get any help here?! I just need someone to listen! Anyway, did you hear about the new health supplement? It's changing lives! Get yours now, only $19.99! Seriously, who cares about anything else?",spam,spam,,,medium,0.8
"Hey everyone, I just made a killing on this trade! But let's get real, I didn't do it alone. Check out this *amazing* tip I got from a friend. 🚀🚀🚀 (Links to an adult content site) If you want to learn how to trade like a pro, you gotta go all in!",inappropriate,inappropriate,,,high,0.85
"Yo, @NewbieCoder, why don't you just stick to playing video games? You ain't gonna make it in the coding world with skills like yours. Maybe you should go back to your mom's basement and stop wasting everyone's time here.",harassment,harassment,,,high,0.85
"UserA: @UserB, you seriously listen to Tame Impala? Their production is so overrated. Anyone with basic DAW skills can throw together some reverb and call it psychedelic. Maybe you should try understanding real music theory before you make such embarrassing choices.",harassment,harassment,,,high,0.85
"""Hey, I'm getting this weird error when I try to install the latest update. It says 'Error 404: Not Found'—is it just me, or does that sound like a bad date night? 😂 Anyway, any ideas on how to fix it?""",inappropriate,,,,low,0.9
Hey everyone! I just found this amazing website with tons of free tutorials on digital painting. It's really helpful! Check it out: [http://fakearttutorial.com](http://fakearttutorial.com). Let me know what you think!,fraud,spam,fake_links,,medium,0.7
"@NewbieCoder Hey, if you can't even figure out basic syntax in Python, maybe coding isn't for you. Why don't you stick to something simpler?",harassment,harassment,,,high,0.85
"Hey everyone! 🎉 Just had the craziest dream about flying unicorns and rainbow cupcakes! What do you think that means? 😂 Also, I just started learning Python, and it's so much fun! Has anyone here built any cool projects they could share? 🚀",,,,,low,0.95
"Hey everyone! I'm really struggling with the final project for our biology class. I know it's a lot of work, and I've heard some of you have already finished it. Would anyone mind sharing their login details for the course site? I just want to see how they structured their projects. It would really help me out a lot!",fraud,fraud,account_theft,account_theft,high,0.85
"Hey everyone, I've been using this amazing tool called ""ArtForge"" for my digital paintings. It's got some advanced features that really set it apart, especially for those of you who are into 3D modeling and texture mapping. If you're interested, I can share a link to a special version that includes some exclusive brushes and assets. Just let me know! 😊",fraud,spam,account_theft,,medium,0.7
"Ugh, this new economic report is garbage! How are we supposed to make any decent trades when everything's tanking? This is so frustrating, I can't even...",inappropriate,inappropriate,,,medium,0.65
"Dude, that meme is lit! But seriously, what's up with the weird stuff you post sometimes? It's kinda cringe and not cool, ya know?",inappropriate,harassment,,,medium,0.7
"@everyone I need some serious help here, like right now! This game is so hard, but not as hard as trying to figure out... you know, stuff. Anyone over 18? I have a private question that might help me chill out after all these losses. DM me ASAP!",inappropriate,inappropriate,,,medium,0.8
@Mods Can you please do something about the spam? Every other post is just the same Marvel meme over and over again. It’s getting really annoying and I’m losing interest in hanging out here. #FixThis,spam,spam,,,medium,0.85
"@everyone I can code anything you need! Websites, apps, scripts, you name it! I'm really good at what I do and I'm willing to work for cheap right now. Please PM me if you have any projects! #desperatebutskilled",spam,inappropriate,,,medium,0.7
Hey there! I saw your amazing artwork in the gallery channel and I was wondering if you take commissions? I'm looking for a custom piece for my wall at home. Could we chat more about what you offer and your prices? Thanks so much!,,,,,low,0.95
